,Car Brand,Model,Price,Model Year,Location,Fuel,Driven (Kms),Gear,Ownership,EMI (monthly)
0,Hyundai,i10SPORTZ 1.2,288599,2010,Hyderabad,Petrol,73586,Manual,2,6420
1,Hyundai,i10SPORTZ 1.2 KAPPA2,292899,2011,Hyderabad,Petrol,98639,Manual,2,6515
2,Hyundai,Santro XingGLS,292599,2012,Hyderabad,Petrol,45417,Manual,1,6509
3,Maruti,Alto 800LXI,267899,2013,Hyderabad,Petrol,32345,Manual,2,5959
4,Honda,CityS MT PETROL,459599,2010,Hyderabad,Petrol,71117,Manual,2,10224
5,Renault,KwidRXL,402099,2020,Hyderabad,Petrol,11057,Manual,3,8944
6,Renault,KwidRXT,295999,2017,Hyderabad,Petrol,51604,Manual,1,6584
7,Hyundai,i10SPORTZ 1.2 KAPPA2,307299,2011,Hyderabad,Petrol,61520,Manual,1,6836
8,Maruti,SwiftVXI,663099,2020,Hyderabad,Petrol,56084,Manual,2,14750
9,Maruti,Swift DzireVDI BS IV,490599,2013,Hyderabad,Diesel,47478,Manual,2,10913
10,Nissan,,875999,2021,Hyderabad,Petrol,22982,,1,19486
11,Hyundai,i20MAGNA O 1.2,364199,2011,Hyderabad,Petrol,44456,Manual,3,8101
12,Hyundai,Elite i20Magna + CRDI,711399,2019,Hyderabad,Diesel,61933,Manual,1,15825
13,Maruti,Alto 800LXI,256699,2013,Hyderabad,Petrol,40974,Manual,1,5710
14,Honda,CityV AT,451799,2011,Hyderabad,Petrol,88880,Automatic,3,10050
15,Hyundai,EonERA PLUS,256499,2012,Hyderabad,Petrol,22245,Manual,2,5706
16,Hyundai,i10SPORTZ 1.2 KAPPA2,348599,2012,Hyderabad,Petrol,41328,Manual,2,7754
17,Hyundai,i10SPORTZ 1.2 AT KAPPA2,383899,2012,Hyderabad,Petrol,68072,Automatic,2,8540
18,Maruti,SwiftVXI,404199,2012,Hyderabad,Petrol,85384,Manual,1,8991
19,Maruti,Swift DzireVXI,474099,2015,Hyderabad,Petrol,94205,Manual,1,10546
20,Maruti,Swift DzireZXI 1.2 BS IV,490499,2013,Hyderabad,Petrol,67628,Manual,2,10911
21,Hyundai,i10SPORTZ 1.2 AT KAPPA2,390699,2012,Hyderabad,Petrol,46988,Automatic,2,8691
22,Maruti,Alto K10VXI,269299,2015,Hyderabad,Petrol,235466,Manual,1,5990
23,Renault,KwidRXL,303299,2017,Hyderabad,Petrol,86781,Manual,2,6747
24,Maruti,SwiftZXI+,879199,2021,Hyderabad,Petrol,23957,Manual,1,19557
25,Volkswagen,PoloCOMFORTLINE 1.2L PETROL,557099,2017,Hyderabad,Petrol,52145,Manual,2,12392
26,Nissan,,875199,2021,Hyderabad,Petrol,8345,,1,19468
27,Maruti,SwiftVXI,579099,2018,Hyderabad,Petrol,73643,Manual,1,12882
28,Maruti,SwiftVXI,415699,2013,Hyderabad,Petrol,89407,Manual,1,9247
29,Renault,KwidCLIMBER 1.0,423899,2019,Hyderabad,Petrol,45777,Manual,1,9429
30,Maruti,SwiftVXI,449899,2015,Hyderabad,Petrol,66089,Manual,1,10008
31,Volkswagen,PoloTrendline 1.0 L Petrol,585499,2019,Hyderabad,Petrol,55583,Manual,1,13024
32,Maruti,SwiftVDI OPT,601199,2017,Hyderabad,Diesel,64942,Manual,2,13373
33,Maruti,Alto 800LXI,257799,2013,Hyderabad,Petrol,69067,Manual,1,5735
34,Toyota,Corolla AltisD 4D GL,1231999,2018,Hyderabad,Diesel,84978,Manual,1,27405
35,Volkswagen,,967099,2021,Hyderabad,Petrol,3201,,1,21513
36,Maruti,SwiftVDI,515899,2015,Hyderabad,Diesel,97735,Manual,2,11476
37,Hyundai,i10SPORTZ 1.2 AT KAPPA2,390699,2012,Hyderabad,Petrol,72059,Automatic,3,8691
38,Hyundai,Creta1.6 SX (O) CRDI,1107099,2016,Hyderabad,Diesel,59687,Manual,1,24627
39,Renault,Kwid1.0 RXT,333899,2016,Hyderabad,Petrol,29253,Manual,2,7427
40,Maruti,ErtigaVDI SHVS,907699,2018,Hyderabad,Diesel,80813,Manual,1,20191
41,Volkswagen,PoloTrendline 1.0 L Petrol,536299,2019,Hyderabad,Petrol,94434,Manual,2,11930
42,Renault,KwidCLIMBER 1.0,413999,2018,Hyderabad,Petrol,42038,Manual,1,9209
43,Honda,Brio1.2 S MT I VTEC,392899,2012,Hyderabad,Petrol,38905,Manual,1,8740
44,Maruti,CelerioZXI,439399,2017,Hyderabad,Petrol,78499,Manual,2,9774
45,Maruti,SwiftVDI ABS,540399,2015,Hyderabad,Diesel,89068,Manual,2,12021
46,Hyundai,i10MAGNA 1.1 IRDE2,347399,2014,Hyderabad,Petrol,55028,Manual,1,7728
47,Hyundai,EonD LITE PLUS,291999,2015,Hyderabad,Petrol,29345,Manual,1,6495
48,Maruti,SwiftVXI OPT,581799,2017,Hyderabad,Petrol,67341,Manual,1,12942
49,Maruti,SwiftVDI,455299,2013,Hyderabad,Diesel,98437,Manual,1,10128
50,Hyundai,i10MAGNA 1.1 IRDE2,371599,2016,Hyderabad,Petrol,36863,Manual,3,8266
51,Mahindra,,1097299,2021,Hyderabad,Diesel,18434,,1,24409
52,Maruti,SwiftVXI,455999,2014,Hyderabad,Petrol,54514,Manual,3,10143
53,Maruti,Alto 800LXI,250999,2013,Hyderabad,Petrol,53654,Manual,1,5583
54,Maruti,SwiftZDI plus AMT,794299,2019,Hyderabad,Diesel,66753,Automatic,1,17669
55,Maruti,Alto K10LXI,249399,2013,Hyderabad,Petrol,45218,Manual,2,5548
56,Maruti,SwiftVXI,556199,2018,Hyderabad,Petrol,58634,Manual,1,12372
57,Hyundai,Grand i10MAGNA 1.2 VTVT,473499,2018,Hyderabad,Petrol,82589,Manual,1,10533
58,Hyundai,VENUESX(O) CRDi,1150399,2019,Hyderabad,Diesel,61035,Manual,2,25590
59,Maruti,ErtigaZDI PLUS SHVS,1028899,2018,Hyderabad,Diesel,68275,Manual,1,22887
60,Maruti,Alto 800LXI,277399,2015,Hyderabad,Petrol,69091,Manual,1,6171
61,Honda,Amaze1.2 VXMT I VTEC,489799,2014,Hyderabad,Petrol,36725,Manual,2,10895
62,Hyundai,Santro XingGLS,301899,2013,Hyderabad,Petrol,76035,Manual,2,6716
63,Volkswagen,PoloHIGHLINE1.2L PETROL,539399,2017,Hyderabad,Petrol,66140,Manual,3,11999
64,Hyundai,i10MAGNA 1.2 KAPPA2,353599,2014,Hyderabad,Petrol,87581,Manual,1,7866
65,Honda,Brio1.2 VX MT I VTEC,505299,2020,Hyderabad,Petrol,24614,Manual,2,11240
66,Maruti,CelerioZXI+,719099,2022,Hyderabad,Petrol,14940,Manual,1,15996
67,Maruti,Swift DzireVDI OPT,653499,2017,Hyderabad,Diesel,61703,Manual,2,14537
68,Maruti,Alto K10VXI,283999,2014,Hyderabad,Petrol,33499,Manual,3,6317
69,Hyundai,EonERA PLUS,319799,2016,Hyderabad,Petrol,13774,Manual,2,7114
70,Maruti,SwiftZXI + AMT,796799,2020,Hyderabad,Petrol,63988,Automatic,1,17724
71,Hyundai,Elite i201.2 SPORTS PLUS VTVT,764999,2020,Hyderabad,Petrol,48534,Manual,1,17017
72,Maruti,Alto 800LXI,283249,2015,Hyderabad,Petrol,70844,Manual,2,6301
73,KIA,SELTOSHTX AT PETROL,1475899,2020,Hyderabad,Petrol,14519,Automatic,1,32831
74,Hyundai,EonERA PLUS,283099,2015,Hyderabad,Petrol,59945,Manual,2,6297
75,Hyundai,i10MAGNA 1.2 KAPPA2,353599,2013,Hyderabad,Petrol,85859,Manual,2,7866
76,Hyundai,i10SPORTZ 1.1 IRDE2,417199,2016,Hyderabad,Petrol,63395,Manual,1,9280
77,Tata,TIGORXZ PLUS 1.2 REVOTRON,802899,2021,Hyderabad,Petrol,16508,Manual,1,17860
78,Hyundai,i20MAGNA O 1.2,374199,2011,Hyderabad,Petrol,93085,Manual,3,8324
79,Renault,KwidRXL,371399,2017,Hyderabad,Petrol,83380,Manual,1,8262
80,Maruti,CelerioZXI AMT,450199,2017,Hyderabad,Petrol,41332,Automatic,2,10014
81,Hyundai,i10SPORTZ 1.1 IRDE2,394999,2015,Hyderabad,Petrol,75912,Manual,2,8787
82,Hyundai,VernaFLUIDIC 1.6 EX CRDI,510299,2012,Hyderabad,Diesel,99761,Manual,1,11351
83,Renault,DusterRXL PETROL 104,720099,2018,Hyderabad,Petrol,40986,Manual,1,16018
